Conversation_ID,Order,Speaker_ID,Line_ID,Text,AnimationTrigger,TargetCharacter_ID,AnimationClip,SneakersAnimationClip,SoundEffect,BeforeTextDelaySeconds
DAY1_CHAT_M,9,NAME_SOWRD,DAY1_CHAT_M_09,,,,,,,
DAY1_CHAT_M,10,NAME_PLAYER,DAY1_CHAT_M_10,,,,,,,
DAY1_CHAT_M,11,NAME_MINUM,DAY1_CHAT_M_11,,,,,,,
DAY1_CHAT_M,12,NAME_MINUM,DAY1_CHAT_M_12,,,,,,,
DAY1_CHAT_M,13,NAME_MING,DAY1_CHAT_M_13,,,,,,,
DAY1_CHAT_M,14,NAME_MING,DAY1_CHAT_M_14,,,,,,,
DAY1_CHAT_M,15,NAME_SOWRD,DAY1_CHAT_M_15,,,,,,,
DAY1_CHAT_M,16,NAME_SOWRD,DAY1_CHAT_M_16,,,,,,,
DAY1_CHAT_M,17,NAME_SOWRD,DAY1_CHAT_M_17,,,,,,,
DAY1_CHAT_M,18,NAME_SOWRD,DAY1_CHAT_M_18,,,,,,,
DAY1_CHAT_M,19,NAME_PIGGY,DAY1_CHAT_M_19,,,,,,,
DAY1_CHAT_M,20,NAME_PIGGY,DAY1_CHAT_M_20,,,,,,,
DAY1_CHAT_M,21,NAME_PLAYER,DAY1_CHAT_M_21,,,,,,,
DAY1_CHAT_M,22,NAME_PLAYER,DAY1_CHAT_M_22,,,,,,,
,,,,,,,,,,
DAY1_MOR_SOWRD,1,NAME_PLAYER,DAY1_MOR_SOWRD_01,,,,,,,
DAY1_MOR_SOWRD,2,NAME_PLAYER,DAY1_MOR_SOWRD_02,,,,,,,
DAY1_MOR_SOWRD,3,NAME_SOWRD,DAY1_MOR_SOWRD_03,,,,,,,
DAY1_MOR_DABONG,1,NAME_DABONG,DAY1_MOR_DABONG_01,,,,,,,
DAY1_MOR_DABONG,2,NAME_PLAYER,DAY1_MOR_DABONG_02,,,,,,,
DAY1_MOR_DABONG,3,NAME_DABONG,DAY1_MOR_DABONG_03,,,,,,,
DAY1_MOR_DABONG,4,NAME_PLAYER,DAY1_MOR_DABONG_04,,,,,,,
DAY1_MOR_DABONG,5,NAME_DABONG,DAY1_MOR_DABONG_05,,,,,,,
DAY1_MOR_DABONG,6,NAME_PLAYER,DAY1_MOR_DABONG_06,,,,,,,
DAY1_MOR_DABONG,7,NAME_PLAYER,DAY1_MOR_DABONG_07,,,,,,,
DAY1_MOR_DABONG,8,NAME_DABONG,DAY1_MOR_DABONG_08,,,,,,,
DAY1_MOR_DABONG,9,NAME_PLAYER,DAY1_MOR_DABONG_09,,,,,,,
DAY1_MOR_MINUM,1,NAME_PLAYER,DAY1_MOR_MINUM_01,,,,,,,
DAY1_MOR_MINUM,2,NAME_MINUM,DAY1_MOR_MINUM_02,,,,,,,
DAY1_MOR_MINUM,3,NAME_MINUM,DAY1_MOR_MINUM_03,,,,,,,
DAY1_MOR_MINUM,4,NAME_MINUM,DAY1_MOR_MINUM_04,,,,,,,
DAY1_MOR_MINUM,5,NAME_MINUM,DAY1_MOR_MINUM_05,,,,,,,
DAY1_MOR_MINUM,6,NAME_MINUM,DAY1_MOR_MINUM_06,,,,,,,
DAY1_MOR_MINUM,7,NAME_PLAYER,DAY1_MOR_MINUM_07,,,,,,,
DAY1_MOR_MINUM,8,NAME_MINUM,DAY1_MOR_MINUM_08,,,,,,,
DAY1_MOR_HWAN,1,NAME_PLAYER,DAY1_MOR_HWAN_01,,,,,,,
DAY1_MOR_HWAN,2,NAME_HWAN,DAY1_MOR_HWAN_02,,,,,,,
,,,,,,,,,,
DAY1_MOR_ADULT,1,NAME_PLAYER,DAY1_MOR_ADULT_01,뭐하냐,,,,,,
DAY1_MOR_ADULT,2,NAME_ADULT,DAY1_MOR_ADULT_02,이 몸 등장!,,NAME_ADULT,ADULT_Earbuds,,,
DAY1_MOR_ADULT,3,NAME_PLAYER,DAY1_MOR_ADULT_03,?,,NAME_PLAYER|NAME_ADULT,CharAmin_Shocked|ADULT_Earbuds,CharAmin_Shocked_Shoes|,,
DAY1_MOR_ADULT,4,NAME_PLAYER,DAY1_MOR_ADULT_04,뭐임????,,NAME_PLAYER|NAME_ADULT,CharAmin_Shocked|ADULT_Earbuds,CharAmin_Shocked_Shoes|,,
DAY1_MOR_ADULT,5,NAME_PLAYER,DAY1_MOR_ADULT_05,지금 콧구멍에 에어팟 꽂은거야!!??,,NAME_PLAYER|NAME_ADULT,CharAmin_Shocked|ADULT_Earbuds,CharAmin_Shocked_Shoes|,,
DAY1_MOR_ADULT,6,NAME_PLAYER,DAY1_MOR_ADULT_06,와 미친,,NAME_PLAYER|NAME_ADULT,CharAmin_Shocked|ADULT_Earbuds,CharAmin_Shocked_Shoes|,,
DAY1_MOR_ADULT,7,NAME_PLAYER,DAY1_MOR_ADULT_07,대박,,NAME_PLAYER|NAME_ADULT,CharAmin_Shocked|ADULT_Earbuds,CharAmin_Shocked_Shoes|,,
DAY1_MOR_ADULT,8,NAME_PLAYER,DAY1_MOR_ADULT_08,잠만,,NAME_PLAYER|NAME_ADULT,CharAmin_Shocked|ADULT_Earbuds,CharAmin_Shocked_Shoes|,,
DAY1_MOR_ADULT,9,NAME_PLAYER,DAY1_MOR_ADULT_09,나 사진 찍어도 됨?,,NAME_PLAYER|NAME_ADULT,CharAmin_Shocked|ADULT_Earbuds,CharAmin_Shocked_Shoes|,,
DAY1_MOR_ADULT,10,NAME_PLAYER,DAY1_MOR_ADULT_10,고뇽이 보여주면 진짜 좋아할 거 같은데,,NAME_PLAYER|NAME_ADULT,CharAmin_Shocked|ADULT_Earbuds,CharAmin_Shocked_Shoes|,,
DAY1_MOR_ADULT,11,NAME_ADULT,DAY1_MOR_ADULT_11,기꺼이,,NAME_PLAYER|NAME_ADULT,CharAmin_Shocked|ADULT_Earbuds,CharAmin_Shocked_Shoes|,,
DAY1_MOR_ADULT,12,NAME_PLAYER,DAY1_MOR_ADULT_12,미쳤다. 진짜 미쳤다.,,NAME_PLAYER|NAME_ADULT,CharAmin_Photo|ADULT_Earbuds,CharAmin_Photo_Shoes|,,
DAY1_MOR_ADULT,13,NAME_PLAYER,DAY1_MOR_ADULT_13,너 유튜버 해라 진짜,,NAME_PLAYER|NAME_ADULT,Player_Idle|ADULT_Earbuds,Player_Idle_Shoes|,,
DAY1_MOR_ADULT,14,NAME_PLAYER,DAY1_MOR_ADULT_14,100만 찍을 수 있어 진심으로,,NAME_PLAYER|NAME_ADULT,Player_Idle|ADULT_Earbuds,Player_Idle_Shoes|,,
DAY1_MOR_ADULT,15,NAME_ADULT,DAY1_MOR_ADULT_15,ㅋ 진짜 할까,,NAME_PLAYER|NAME_ADULT,Player_Idle|ADULT_Earbuds,Player_Idle_Shoes|,,
DAY1_MOR_ADULT,16,NAME_ADULT,DAY1_MOR_ADULT_16,안그래도 졸업하고 할 것도 없겠다,,NAME_PLAYER|NAME_ADULT,Player_Idle|ADULT_Earbuds,Player_Idle_Shoes|,,
DAY1_MOR_ADULT,17,NAME_PLAYER,DAY1_MOR_ADULT_17,넌 된다 진짜.,,NAME_PLAYER|NAME_ADULT,Player_Idle|ADULT_Earbuds,Player_Idle_Shoes|,,
DAY1_MOR_ADULT,18,NAME_PLAYER,DAY1_MOR_ADULT_18,근데 그거 다시 귀에다 꽂을 거야?,,NAME_PLAYER|NAME_ADULT,Player_Idle|ADULT_Earbuds,Player_Idle_Shoes|,,
DAY1_MOR_ADULT,19,NAME_ADULT,DAY1_MOR_ADULT_19,헝? (코 먹는 소리),,NAME_PLAYER|NAME_ADULT,Player_Idle|ADULT_Earbuds,Player_Idle_Shoes|,,
DAY1_MOR_ADULT,20,NAME_PLAYER,DAY1_MOR_ADULT_20,아니야... 됐어...,,NAME_PLAYER|NAME_ADULT,CharAmin_Boring|ADULT_Earbuds,CharAmin_Boring_Shoes|,,
DAY1_MOR_GONYONG,1,NAME_PLAYER,DAY1_MOR_GONYONG_01,안녕,,,,,,
DAY1_MOR_GONYONG,2,NAME_GONYONG,DAY1_MOR_GONYONG_02,잼얘좀,,,,,,
DAY1_MOR_GONYONG,3,NAME_PLAYER,DAY1_MOR_GONYONG_03,나도 아직 없는데,,,,,,
DAY1_MOR_GONYONG,4,NAME_GONYONG,DAY1_MOR_GONYONG_04,힝,,,,,,
DAY1_MOR_GONYONG_EVENT,1,NAME_PLAYER,DAY1_MOR_GONYONG_EVENT_01,야야야야야 잼얘 갖고옴,,,,,,
DAY1_MOR_GONYONG_EVENT,2,NAME_PLAYER,DAY1_MOR_GONYONG_EVENT_02,엉인이 콧구멍에 에어팟 꽂은 짤,,,,,,
DAY1_MOR_GONYONG_EVENT,3,NAME_GONYONG,DAY1_MOR_GONYONG_EVENT_03,뭐ㅓ어ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,NAME_GONYONG,GONYONG_Smile,,,
DAY1_MOR_GONYONG_EVENT,4,NAME_GONYONG,DAY1_MOR_GONYONG_EVENT_04,당장 보여줘,,,,,,
DAY1_MOR_GONYONG_EVENT,5,NAME_PLAYER,DAY1_MOR_GONYONG_EVENT_05,이이이ㅣ 봐ㅏㅏ,,,,,,
DAY1_MOR_GONYONG_EVENT,6,NAME_GONYONG,DAY1_MOR_GONYONG_EVENT_06,미ㅋ친ㅋ놈ㅋㅋㅋㅋㅋ,,NAME_GONYONG,GONYONG_Smile,,,
DAY1_MOR_GONYONG_EVENT,7,NAME_GONYONG,DAY1_MOR_GONYONG_EVENT_07,와,,NAME_GONYONG,GONYONG_Smile,,,
DAY1_MOR_GONYONG_EVENT,8,NAME_PLAYER,DAY1_MOR_GONYONG_EVENT_08,어떻게 이럴 수가 있지,,NAME_GONYONG,GONYONG_Smile,,,
DAY1_MOR_GONYONG_EVENT,9,NAME_PLAYER,DAY1_MOR_GONYONG_EVENT_09,나 진짜 살면서 처음으로,,NAME_GONYONG,GONYONG_Smile,,,
DAY1_MOR_GONYONG_EVENT,10,NAME_PLAYER,DAY1_MOR_GONYONG_EVENT_10,재능의 벽이라는 걸 느꼈어,,NAME_GONYONG,GONYONG_Smile,,,
DAY1_MOR_GONYONG_EVENT,11,NAME_PLAYER,DAY1_MOR_GONYONG_EVENT_11,저게 재능이구나,,NAME_GONYONG,GONYONG_Smile,,,
DAY1_MOR_GONYONG_EVENT,12,NAME_GONYONG,DAY1_MOR_GONYONG_EVENT_12,결혼식때 틀어버리자,,NAME_GONYONG,GONYONG_Smile,,,
DAY1_MOR_GONYONG_EVENT,13,NAME_PLAYER,DAY1_MOR_GONYONG_EVENT_13,뒤졌따,,NAME_GONYONG,GONYONG_Smile,,,
DAY1_MOR_GONYONG_EVENT,14,NAME_GONYONG,DAY1_MOR_GONYONG_EVENT_14,개웃기네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,NAME_GONYONG,GONYONG_Smile,,,
DAY1_MOR_GONYONG_EVENT,15,NAME_PLAYER,DAY1_MOR_GONYONG_EVENT_15,레전드 짤 수집했다,,,,,,
DAY1_MOR_GONYONG_EVENT,16,NAME_GONYONG,DAY1_MOR_GONYONG_EVENT_16,좋다,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
DAY1_CLASSOPEN,1,NAME_HOMEROOM,DAY1_CLASSOPEN_01,,,,,,,
DAY1_CLASSOPEN,2,NAME_HOMEROOM,DAY1_CLASSOPEN_02,,,,,,,
DAY1_CLASSOPEN,3,NAME_MINUM,DAY1_CLASSOPEN_03,,,,,,,
DAY1_CLASSOPEN,4,NAME_MINUM,DAY1_CLASSOPEN_04,,,,,,,
DAY1_CLASSOPEN,5,NAME_NUREONG,DAY1_CLASSOPEN_05,,,,,,,
DAY1_CLASSOPEN,6,NAME_HOMEROOM,DAY1_CLASSOPEN_06,,,,,,,
DAY1_CLASSOPEN,7,NAME_HOMEROOM,DAY1_CLASSOPEN_07,,,,,,,
DAY1_CLASSOPEN,8,NAME_NUREONG,DAY1_CLASSOPEN_08,,,,,,,
DAY1_CLASSOPEN,9,NAME_ADULT,DAY1_CLASSOPEN_09,,,,,,,
DAY1_CLASSOPEN,10,NAME_HOMEROOM,DAY1_CLASSOPEN_10,,,,,,,
DAY1_CLASSOPEN,11,NAME_HOMEROOM,DAY1_CLASSOPEN_11,,,,,,,
DAY1_CLASSOPEN,12,NAME_HOMEROOM,DAY1_CLASSOPEN_12,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
D1_Class1,,,,,,,,,,
,,,,,,,,,,
D1_CLASS1_START,1,NAME_SOCIAL,D1_CLASS1_START_01,,,,,,,
D1_CLASS1_START,2,NAME_SOCIAL,D1_CLASS1_START_02,,,,,,,
D1_CLASS1_START,3,NAME_NUREONG,D1_CLASS1_START_03,,,,,,,
D1_CLASS1_START,4,NAME_SOCIAL,D1_CLASS1_START_04,,,,,,,
D1_CLASS1_START,5,NAME_PIGGY,D1_CLASS1_START_05,,,,,,,
D1_CLASS1_START,6,NAME_PIGGY,D1_CLASS1_START_06,,,,,,,
D1_CLASS1_START,7,NAME_SOCIAL,D1_CLASS1_START_07,,,,,,,
D1_CLASS1_START,8,NAME_SOCIAL,D1_CLASS1_START_08,,,,,,,
D1_CLASS1_START,9,NAME_SOCIAL,D1_CLASS1_START_09,,,,,,,
D1_CLASS1_START,10,NAME_SOCIAL,D1_CLASS1_START_10,,,,,,,
D1_CLASS1_START,11,NAME_ADULT,D1_CLASS1_START_11,,,,,,,
D1_CLASS1_START,12,NAME_ADULT,D1_CLASS1_START_12,,,,,,,
D1_CLASS1_START,13,NAME_PLAYER,D1_CLASS1_START_13,,,,,,,
D1_CLASS1_START,14,NAME_MINUM,D1_CLASS1_START_14,,,,,,,
D1_CLASS1_START,15,NAME_SOCIAL,D1_CLASS1_START_15,,,,,,,
D1_CLASS1_START,16,NAME_SOCIAL,D1_CLASS1_START_16,,,,,,,
D1_CLASS1_START,17,NAME_SOCIAL,D1_CLASS1_START_17,,,,,,,
D1_CLASS1_START,18,NAME_SOCIAL,D1_CLASS1_START_18,,,,,,,
D1_CLASS1_START,19,NAME_SOCIAL,D1_CLASS1_START_19,,,,,,,
D1_CLASS1_START,20,NAME_PLAYER,D1_CLASS1_START_20,,,,,,,
D1_CLASS1_START,21,NAME_PLAYER,D1_CLASS1_START_21,,,,,,,
D1_CLASS1_MINIGAME,1,NAME_SOCIAL,D1_CLASS1_MINIGAME_01,,,,,,,
D1_CLASS1_MINIGAME,2,NAME_SOCIAL,D1_CLASS1_MINIGAME_02,,,,,,,
D1_CLASS1_MINIGAME,3,NAME_SOCIAL,D1_CLASS1_MINIGAME_03,,,,,,,
D1_CLASS1_MINIGAME,4,NAME_SOCIAL,D1_CLASS1_MINIGAME_04,,,,,,,
D1_CLASS1_MINIGAME,5,NAME_SOCIAL,D1_CLASS1_MINIGAME_05,,,,,,,
D1_CLASS1_MINIGAME,6,NAME_SOCIAL,D1_CLASS1_MINIGAME_06,,,,,,,
D1_CLASS1_MINIGAME,7,NAME_SOCIAL,D1_CLASS1_MINIGAME_07,,,,,,,
D1_CLASS1_MINIGAME,8,NAME_SOCIAL,D1_CLASS1_MINIGAME_08,,,,,,,
D1_CLASS1_MINIGAME,9,NAME_SOCIAL,D1_CLASS1_MINIGAME_09,,,,,,,
D1_CLASS1_MINIGAME,10,NAME_SOCIAL,D1_CLASS1_MINIGAME_10,,,,,,,
D1_CLASS1_MINIGAME,11,NAME_SOCIAL,D1_CLASS1_MINIGAME_11,,,,,,,
D1_CLASS1_MINIGAME,12,NAME_SOCIAL,D1_CLASS1_MINIGAME_12,,,,,,,
D1_CLASS1_MINIGAME,13,NAME_SOCIAL,D1_CLASS1_MINIGAME_13,,,,,,,
D1_CLASS1_MINIGAME,14,NAME_SOCIAL,D1_CLASS1_MINIGAME_14,,,,,,,
D1_CLASS1_MINIGAME,15,NAME_SOCIAL,D1_CLASS1_MINIGAME_15,,,,,,,
D1_CLASS1_MINIGAME,16,NAME_SOCIAL,D1_CLASS1_MINIGAME_16,,,,,,,
D1_CLASS1_MINIGAME,17,NAME_SOCIAL,D1_CLASS1_MINIGAME_17,,,,,,,
D1_CLASS1_MINIGAME,18,NAME_SOCIAL,D1_CLASS1_MINIGAME_18,,,,,,,
D1_CLASS1_MINIGAME,19,NAME_SOCIAL,D1_CLASS1_MINIGAME_19,,,,,,,
D1_CLASS1_MINIGAME,20,NAME_SOCIAL,D1_CLASS1_MINIGAME_20,,,,,,,
D1_CLASS1_MINIGAME,21,NAME_SOCIAL,D1_CLASS1_MINIGAME_21,,,,,,,
D1_CLASS1_MINIGAME,22,NAME_SOCIAL,D1_CLASS1_MINIGAME_22,,,,,,,
D1_CLASS1_MINIGAME,23,NAME_SOCIAL,D1_CLASS1_MINIGAME_23,,,,,,,
D1_CLASS1_MINIGAME,24,NAME_SOCIAL,D1_CLASS1_MINIGAME_24,,,,,,,
D1_CLASS1_MINIGAME,25,NAME_SOCIAL,D1_CLASS1_MINIGAME_25,,,,,,,
D1_CLASS1_MINIGAME,26,NAME_SOCIAL,D1_CLASS1_MINIGAME_26,,,,,,,
D1_CLASS1_MINIGAME,27,NAME_SOCIAL,D1_CLASS1_MINIGAME_27,,,,,,,
D1_CLASS1_MINIGAME,28,NAME_SOCIAL,D1_CLASS1_MINIGAME_28,,,,,,,
D1_CLASS1_MINIGAME,29,NAME_SOCIAL,D1_CLASS1_MINIGAME_29,,,,,,,
D1_CLASS1_MINIGAME,30,NAME_SOCIAL,D1_CLASS1_MINIGAME_30,,,,,,,
D1_CLASS1_MINIGAME,31,NAME_SOCIAL,D1_CLASS1_MINIGAME_31,,,,,,,
D1_CLASS1_MINIGAME,32,NAME_SOCIAL,D1_CLASS1_MINIGAME_32,,,,,,,
D1_CLASS1_MINIGAME,33,NAME_SOCIAL,D1_CLASS1_MINIGAME_33,,,,,,,
D1_CLASS1_MINIGAME,34,NAME_SOCIAL,D1_CLASS1_MINIGAME_34,,,,,,,
D1_CLASS1_MINIGAME,35,NAME_SOCIAL,D1_CLASS1_MINIGAME_35,,,,,,,
D1_CLASS1_MINIGAME,36,NAME_SOCIAL,D1_CLASS1_MINIGAME_36,,,,,,,
D1_CLASS1_MINIGAME,37,NAME_SOCIAL,D1_CLASS1_MINIGAME_37,,,,,,,
D1_CLASS1_MINIGAME,38,NAME_SOCIAL,D1_CLASS1_MINIGAME_38,,,,,,,
D1_CLASS1_MINIGAME,39,NAME_SOCIAL,D1_CLASS1_MINIGAME_39,,,,,,,
D1_CLASS1_MINIGAME,40,NAME_SOCIAL,D1_CLASS1_MINIGAME_40,,,,,,,
D1_CLASS1_MINIGAME,41,NAME_SOCIAL,D1_CLASS1_MINIGAME_41,,,,,,,
D1_CLASS1_END,1,NAME_SOCIAL,D1_CLASS1_END_01,,,,,,,
D1_CLASS1_END,2,NAME_SOCIAL,D1_CLASS1_END_02,,,,,,,
D1_CLASS1_END,3,NAME_SOCIAL,D1_CLASS1_END_03,,,,,,,
,,,,,,,,,,
D1_Lunch,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
DAY1_LUNCH_MINUM,1,NAME_PLAYER,DAY1_LUNCH_MINUM_01,미눔이 잔다,,,,,,
DAY1_LUNCH_MINUM,2,NAME_PLAYER,DAY1_LUNCH_MINUM_02,(찰칵!),,NAME_PLAYER,CharAmin_Photo,,,
DAY1_LUNCH_MINUM,3,NAME_PLAYER,DAY1_LUNCH_MINUM_03,ㅎㅎ,,NAME_PLAYER,CharAmin_Smile,,,
DAY1_LUNCH_MINUM,4,NAME_PLAYER,DAY1_LUNCH_MINUM_04,나는야 도촬범~,,NAME_PLAYER,CharAmin_Smile,,,
,,,,,,,,,,
DAY1_LUNCH_ADULT,1,NAME_PLAYER,DAY1_LUNCH_ADULT_01,,,,,,,
DAY1_LUNCH_ADULT,2,NAME_ADULT,DAY1_LUNCH_ADULT_02,,,,,,,
DAY1_LUNCH_ADULT,3,NAME_PLAYER,DAY1_LUNCH_ADULT_03,,,,,,,
DAY1_LUNCH_ADULT,4,NAME_ADULT,DAY1_LUNCH_ADULT_04,,,,,,,
DAY1_LUNCH_ADULT,5,NAME_ADULT,DAY1_LUNCH_ADULT_05,,,,,,,
DAY1_LUNCH_ADULT,6,NAME_ADULT,DAY1_LUNCH_ADULT_06,,,,,,,
DAY1_LUNCH_ADULT,7,NAME_PLAYER,DAY1_LUNCH_ADULT_07,,,,,,,
DAY1_LUNCH_ADULT,8,NAME_ADULT,DAY1_LUNCH_ADULT_08,,,,,,,
DAY1_LUNCH_ADULT,9,NAME_ADULT,DAY1_LUNCH_ADULT_09,,,,,,,
DAY1_LUNCH_ADULT,10,NAME_ADULT,DAY1_LUNCH_ADULT_10,,,,,,,
DAY1_LUNCH_ADULT,11,NAME_PLAYER,DAY1_LUNCH_ADULT_11,,,,,,,
DAY1_LUNCH_ADULT,12,NAME_PLAYER,DAY1_LUNCH_ADULT_12,,,,,,,
DAY1_LUNCH_ADULT,13,NAME_HWAN,DAY1_LUNCH_ADULT_13,,,,,,,
DAY1_LUNCH_ADULT,14,NAME_PLAYER,DAY1_LUNCH_ADULT_14,,,,,,,
DAY1_LUNCH_ADULT,15,NAME_ADULT,DAY1_LUNCH_ADULT_15,,,,,,,
DAY1_LUNCH_ADULT,16,NAME_ADULT,DAY1_LUNCH_ADULT_16,,,,,,,
DAY1_LUNCH_ADULT,17,NAME_ADULT,DAY1_LUNCH_ADULT_17,,,,,,,
DAY1_LUNCH_ADULT,18,NAME_PLAYER,DAY1_LUNCH_ADULT_18,,,,,,,
DAY1_LUNCH_ADULT,19,NAME_ADULT,DAY1_LUNCH_ADULT_19,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
DAY1_LUNCH_SOWRD,1,NAME_SOWRD,DAY1_LUNCH_SOWRD_01,,,,,,,
DAY1_LUNCH_SOWRD,2,NAME_GONYONG,DAY1_LUNCH_SOWRD_02,,,,,,,
DAY1_LUNCH_SOWRD,3,NAME_SOWRD,DAY1_LUNCH_SOWRD_03,,,,,,,
DAY1_LUNCH_SOWRD,4,NAME_GONYONG,DAY1_LUNCH_SOWRD_04,,,,,,,
DAY1_LUNCH_SOWRD,5,NAME_GONYONG,DAY1_LUNCH_SOWRD_05,,,,,,,
DAY1_LUNCH_SOWRD,6,NAME_SOWRD,DAY1_LUNCH_SOWRD_06,,,,,,,
DAY1_LUNCH_SOWRD,7,NAME_SOWRD,DAY1_LUNCH_SOWRD_07,,,,,,,
DAY1_LUNCH_SOWRD,8,NAME_PLAYER,DAY1_LUNCH_SOWRD_08,,,,,,,
DAY1_LUNCH_SOWRD,9,NAME_PLAYER,DAY1_LUNCH_SOWRD_09,,,,,,,
DAY1_LUNCH_SOWRD,10,NAME_GONYONG,DAY1_LUNCH_SOWRD_10,,,,,,,
DAY1_LUNCH_SOWRD,11,NAME_GONYONG,DAY1_LUNCH_SOWRD_11,,,,,,,
DAY1_LUNCH_SOWRD,12,NAME_PLAYER,DAY1_LUNCH_SOWRD_12,,,,,,,
DAY1_LUNCH_SOWRD,13,NAME_SOWRD,DAY1_LUNCH_SOWRD_13,,,,,,,
DAY1_LUNCH_SOWRD,14,NAME_PLAYER,DAY1_LUNCH_SOWRD_14,,,,,,,
,,,,,,,,,,
DAY1_LUNCH_MING,1,NAME_PLAYER,DAY1_LUNCH_MING_01,안녕 밍,,,,,,
DAY1_LUNCH_MING,2,NAME_PLAYER,DAY1_LUNCH_MING_02,여기서 뭐해?,,NAME_PLAYER,CharAmin_Photo,,,
DAY1_LUNCH_MING,3,NAME_MING,DAY1_LUNCH_MING_03,그냥..,,NAME_PLAYER,CharAmin_Smile,,,
DAY1_LUNCH_MING,4,NAME_MING,DAY1_LUNCH_MING_04,햇살 쬐는 중..,,NAME_PLAYER,CharAmin_Smile,,,
DAY1_LUNCH_MING,5,NAME_MING,DAY1_LUNCH_MING_05,빨리 집 가고 싶다,,,,,,
DAY1_LUNCH_MING,6,NAME_MING,DAY1_LUNCH_MING_07,매일매일 아침 7시에 일어나는 거,,,,,,
